English Word;Portuguese Translation (Google Translate);Positive;Negative;Anger;Anticipation;Disgust;Fear;Joy;Sadness;Surprise;Trust
aback;para trás;0;0;0;0;0;0;0;0;0;0
abacus;ábaco;0;0;0;0;0;0;0;0;0;1
abandon;abandonar;0;1;0;0;0;1;0;1;0;0
abandoned;abandonado;0;1;1;0;0;1;0;1;0;0
abandonment;abandono;0;1;1;0;0;1;0;1;1;0
abate;diminuir;0;0;0;0;0;0;0;0;0;0
abatement;diminuição;0;0;0;0;0;0;0;0;0;0
abba;abba;1;0;0;0;0;0;0;0;0;0
abbot;abade;0;0;0;0;0;0;0;0;0;1
abbreviate;abreviar;0;0;0;0;0;0;0;0;0;0
abbreviation;abreviatura;0;0;0;0;0;0;0;0;0;0
abdomen;abdômen;0;0;0;0;0;0;0;0;0;0
abdominal;abdominal;0;0;0;0;0;0;0;0;0;0
abduction;abdução;0;1;0;0;0;1;0;1;1;0
aberrant;aberrante;0;1;0;0;0;0;0;0;0;0
aberration;aberração;0;1;0;0;1;0;0;0;0;0
abeyance;inatividade temporária;0;0;0;0;0;0;0;0;0;0
abhor;abominar;0;1;1;0;1;1;0;0;0;0
abhorrent;detestável;0;1;1;0;1;1;0;0;0;0
abide;permanecer;0;0;0;0;0;0;0;0;0;0
ability;capacidade;1;0;0;0;0;0;0;0;0;0
abject;abjeto;0;1;0;0;1;0;0;0;0;0
ablation;ablação;0;0;0;0;0;0;0;0;0;0
ablaze;chamejante;0;0;0;0;0;0;0;0;0;0
abnormal;anormal;0;1;0;0;1;0;0;0;0;0
aboard;um quadro;0;0;0;0;0;0;0;0;0;0
abode;casa;0;0;0;0;0;0;0;0;0;0
abolish;abolir;0;1;1;0;0;0;0;0;0;0
abolition;abolição;0;1;0;0;0;0;0;0;0;0
abominable;abominável;0;1;0;0;1;1;0;0;0;0
abomination;abominação;0;1;1;0;1;1;0;0;0;0
aboriginal;aborígene;0;0;0;0;0;0;0;0;0;0
abort;abortar;0;1;0;0;0;0;0;0;0;0
abortion;aborto;0;1;0;0;1;1;0;1;0;0
abortive;abortivo;0;1;0;0;0;0;0;1;0;0
abound;abundar;0;0;0;0;0;0;0;0;0;0
abovementioned;mencionado acima;1;0;0;0;0;0;0;0;0;0
abrasion;abrasão;0;1;0;0;0;0;0;0;0;0
abroad;no exterior;0;0;0;0;0;0;0;0;0;0
abrogate;revogar;0;1;0;0;0;0;0;0;0;0
abrupt;abrupto;0;0;0;0;0;0;0;0;1;0
abruptly;abruptamente;0;0;0;0;0;0;0;0;0;0
abscess;abscesso;0;1;0;0;0;0;0;1;0;0
absence;ausência;0;1;0;0;0;1;0;1;0;0
absent;ausente;0;1;0;0;0;0;0;1;0;0
absentee;absentista;0;1;0;0;0;0;0;1;0;0
absenteeism;absentismo;0;1;0;0;0;0;0;0;0;0
absinthe;absinto;0;0;0;0;0;0;0;0;0;0
absolute;absoluto;1;0;0;0;0;0;0;0;0;0
absolution;absolvição;1;0;0;0;0;0;1;0;0;1
absorbed;absorvido;1;0;0;0;0;0;0;0;0;0
absorbent;absorvente;0;0;0;0;0;0;0;0;0;0
absorbing;absorção;0;0;0;0;0;0;0;0;0;0
absorption;absorção;0;0;0;0;0;0;0;0;0;0
abstain;evitar;0;0;0;0;0;0;0;0;0;0
abstention;abstenção;0;0;0;0;0;0;0;0;0;0
abstinence;abstinência;0;0;0;0;0;0;0;0;0;0
abstract;resumo;0;0;0;0;0;0;0;0;0;0
abstraction;abstração;0;0;0;0;0;0;0;0;0;0
absurd;absurdo;0;1;0;0;0;0;0;0;0;0
absurdity;absurdo;0;1;0;0;0;0;0;0;0;0
abundance;abundância;1;1;0;1;1;0;1;0;0;1
abundant;abundante;1;0;0;0;0;0;1;0;0;0
abuse;Abuso;0;1;1;0;1;1;0;1;0;0
abutment;limite;0;0;0;0;0;0;0;0;0;0
aby;aby;0;0;0;0;0;0;0;0;0;0
abysmal;abismal;0;1;0;0;0;0;0;1;0;0
abyss;abismo;0;1;0;0;0;1;0;1;0;0
academic;acadêmico;1;0;0;0;0;0;0;0;0;1
academy;academia;1;0;0;0;0;0;0;0;0;0
accede;aderir;0;0;0;0;0;0;0;0;0;0
accelerate;acelerar;0;0;0;1;0;0;0;0;0;0
acceleration;aceleração;0;0;0;0;0;0;0;0;0;0
accent;acento;0;0;0;0;0;0;0;0;0;0
accentuate;acentuar;0;0;0;0;0;0;0;0;0;0
accept;aceitar;0;0;0;0;0;0;0;0;0;0
acceptable;aceitável;1;0;0;0;0;0;0;0;0;0
acceptance;aceitação;1;0;0;0;0;0;0;0;0;0
access;Acesso;0;0;0;0;0;0;0;0;0;0
accessible;acessível;1;0;0;0;0;0;0;0;0;0
accession;adesão;0;0;0;0;0;0;0;0;0;0
accessory;acessório;0;0;0;0;0;0;0;0;0;0
accident;acidente;0;1;0;0;0;1;0;1;1;0
accidental;acidental;0;1;0;0;0;1;0;0;1;0
accidentally;acidentalmente;0;0;0;0;0;0;0;0;1;0
accolade;elogio;1;0;0;1;0;0;1;0;1;1
accommodate;acomodar;0;0;0;0;0;0;0;0;0;0
accommodation;acomodação;1;0;0;0;0;0;0;0;0;0
accompaniment;acompanhamento;1;0;0;1;0;0;1;0;0;1
accompany;acompanhar;0;0;0;0;0;0;0;0;0;0
accompanying;acompanhante;0;0;0;0;0;0;0;0;0;0
accomplice;cúmplice;0;0;0;0;0;0;0;0;0;0
accomplish;realizar;1;0;0;0;0;0;1;0;0;0
accomplished;realizado;1;0;0;0;0;0;1;0;0;0
accomplishment;realização;1;0;0;0;0;0;0;0;0;0
accord;acordo;1;0;0;0;0;0;0;0;0;1
accordance;conformidade;0;0;0;0;0;0;0;0;0;0
accordion;acordeão;0;0;0;0;0;0;0;0;0;0
account;conta;0;0;0;0;0;0;0;0;0;1
accountability;prestação de contas;1;0;0;0;0;0;0;0;0;1
accountable;responsável;1;0;0;0;0;0;0;0;0;1
accountant;contador;0;0;0;0;0;0;0;0;0;1
accounting;contabilidade;0;0;0;0;0;0;0;0;0;0
accounts;contas;0;0;0;0;0;0;0;0;0;1
accredited;acreditado;1;0;0;0;0;0;0;0;0;1
accretion;acreção;0;0;0;0;0;0;0;0;0;0
accrue;advir;0;0;0;0;0;0;0;0;0;0
accueil;accueil;1;0;0;0;0;0;0;0;0;0
accumulate;acumular;0;0;0;0;0;0;0;0;0;0
accumulation;acumulação;0;0;0;0;0;0;0;0;0;0
accuracy;exatidão;0;0;0;0;0;0;0;0;0;0
accurate;exato;1;0;0;0;0;0;0;0;0;1
accursed;amaldiçoado;0;1;1;0;0;1;0;1;0;0
accusation;acusação;0;1;1;0;1;0;0;0;0;0
accusative;acusativo;0;1;0;0;0;0;0;0;0;0
accused;acusado;0;1;1;0;0;1;0;0;0;0
accuser;acusador;0;1;1;0;0;1;0;0;0;0
accusing;acusador;0;1;1;0;0;1;0;0;0;0
accustomed;acostumado;0;0;0;0;0;0;0;0;0;0
ace;ás;1;0;0;0;0;0;0;0;0;0
acetic;acético;0;0;0;0;0;0;0;0;0;0
ache;dor;0;1;0;0;0;0;0;1;0;0
achieve;alcançar;1;0;0;0;0;0;1;0;0;1
achievement;realização;1;0;0;1;0;0;1;0;0;1
aching;doendo;0;1;0;0;0;0;0;1;0;0
acid;ácido;0;1;0;0;0;0;0;0;0;0
acidity;acidez;0;0;0;0;0;0;0;0;0;0
acknowledge;reconhecer;0;0;0;0;0;0;0;0;0;0
acknowledged;reconhecido;0;0;0;0;0;0;0;0;0;0
acknowledgment;reconhecimento;1;0;0;0;0;0;0;0;0;0
acme;acme;0;0;0;0;0;0;0;0;0;0
acoustic;acústico;0;0;0;0;0;0;0;0;0;0
acoustics;acústica;0;0;0;0;0;0;0;0;0;0
acquaint;familiarizar;0;0;0;0;0;0;0;0;0;0
acquaintance;conhecimento;0;0;0;0;0;0;0;0;0;0
acquainted;familiar;0;0;0;0;0;0;0;0;0;0
acquiescence;aquiescência;0;0;0;0;0;0;0;0;0;0
acquire;adquirir;1;0;0;0;0;0;0;0;0;0
acquiring;aquisição;1;0;0;1;0;0;0;0;0;0
acquisition;aquisição;0;0;0;0;0;0;0;0;0;0
acquisitions;aquisições;0;0;0;0;0;0;0;0;0;0
acreage;área cultivada;0;0;0;0;0;0;0;0;0;0
acres;acres;0;0;0;0;0;0;0;0;0;0
acrobat;acrobata;1;0;0;0;0;1;1;0;0;1
act;Aja;0;0;0;0;0;0;0;0;0;0
acting;atuação;0;0;0;0;0;0;0;0;0;0
action;açao;1;0;0;0;0;0;0;0;0;0
actionable;litigável;0;1;1;0;1;0;0;0;0;0
active;ativo;0;0;0;0;0;0;0;0;0;0
activity;atividade;0;0;0;0;0;0;0;0;0;0
actor;ator;0;0;0;0;0;0;0;0;0;0
actual;real;1;0;0;0;0;0;0;0;0;0
actuality;realidade;0;0;0;0;0;0;0;0;0;0
actuary;atuário;0;0;0;0;0;0;0;0;0;0
acuity;acuidade;1;0;0;0;0;0;0;0;0;0
acumen;perspicácia;1;0;0;0;0;0;0;0;0;0
acupuncture;acupuntura;0;0;0;0;0;0;0;0;0;0
acutely;agudamente;0;0;0;0;0;0;0;0;0;0
adage;adágio;0;0;0;0;0;0;0;0;0;0
adamant;diamante;0;0;0;0;0;0;0;0;0;0
adapt;adaptar;1;0;0;0;0;0;0;0;0;0
adaptable;adaptável;1;0;0;0;0;0;0;0;0;0
add;adicionar;0;0;0;0;0;0;0;0;0;0
added;adicionado;0;0;0;0;0;0;0;0;0;0
addendum;adenda;0;0;0;0;0;0;0;0;0;0
adder;víbora;0;1;1;0;1;1;0;1;0;0
addiction;vício;0;1;0;0;0;0;0;0;0;0
addition;adição;0;0;0;0;0;0;0;0;0;0
additional;adicional;0;0;0;0;0;0;0;0;0;0
additive;aditivo;0;0;0;0;0;0;0;0;0;0
address;endereço;0;0;0;0;0;0;0;0;0;0
addressee;destinatário;0;0;0;0;0;0;0;0;0;0
addresses;endereços;1;0;0;1;0;0;0;0;0;0
adept;perito;1;0;0;0;0;0;0;0;0;0
adequacy;adequação;1;0;0;0;0;0;0;0;0;0
adequate;adequado;0;0;0;0;0;0;0;0;0;0
adhere;aderir;0;0;0;0;0;0;0;0;0;0
adherence;adesão;0;0;0;0;0;0;0;0;0;0
adherent;aderente;0;0;0;0;0;0;0;0;0;0
adhering;aderente;0;0;0;0;0;0;0;0;0;1
